Clap, Swipe Down With Left, Swipe Down With Right, Swipe To Left, Swipe To Right, Swipe Up With Left, Swipe Up With Right, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424496791641444, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, 
0.424334219485876, Infinity, 0.436938680284127, Infinity, 0.246375630810045, Infinity, Infinity, 
0.356102380282417, 0.514301849928323, 0.344492123336438, 0.214689303026929, 0.305807011257098, 0.352031468624232, 0.285537404012854, 
0.362839257680977, 0.515113981995722, 0.344399964672643, 0.217931261389279, 0.305659281893437, 0.35057392062782, 0.289418962453066, 
0.370217521970701, 0.516146747387997, 0.344543234968838, 0.220994571645513, 0.305368240140843, 0.349327233016127, 0.29402940506542, 
0.377917082337929, 0.516958411237363, 0.344931903024826, 0.224336849840221, 0.305204395518838, 0.348293120902775, 0.298329229375221, 
0.385689640410558, 0.517938842392786, 0.345323157473308, 0.227358594665543, 0.300627864596625, 0.346106546272795, 0.303188364482326, 
0.393513523429318, 0.514217885233744, 0.34576311865671, 0.23034375022777, 0.292907084728387, 0.340758883727389, 0.307734704800218, 
0.40163024622479, 0.508353890661612, 0.346413123208554, 0.233245465876863, 0.283686458709162, 0.333946957759731, 0.312495500920866, 
0.409373603687444, 0.501606548775849, 0.346988878739601, 0.236097246555615, 0.274457767528493, 0.326671667360605, 0.316983990265287, 
0.417333268237934, 0.495144587355785, 0.347621452240377, 0.239015413805281, 0.265976793373835, 0.319670571233403, 0.321677076878446, 
0.424889428660664, 0.489518416961991, 0.348375957340282, 0.241783597570398, 0.258514730525239, 0.31353786273997, 0.326109067794838, 
0.430659296126287, 0.484951821629466, 0.349098009874017, 0.244538217341499, 0.252267670765885, 0.308393488326185, 0.330654845726633, 
0.433054196441548, 0.481890191454674, 0.349943460352838, 0.247130655582824, 0.248959324509984, 0.304239660307123, 0.334501380690058, 
0.433938046877944, 0.480265822705568, 0.350764981113812, 0.249720815035009, 0.24723428712947, 0.302115521587023, 0.335608600481379, 
0.434156816028167, 0.479385128740568, 0.351587428500146, 0.252328887818911, 0.246342917393309, 0.301042816432278, 0.33611812881372, 
0.434007508091132, 0.478876167058531, 0.352568085793888, 0.254803143742871, 0.245860003882491, 0.300483894060489, 0.336300974662095, 
0.433675434173053, 0.478623202368362, 0.353477622003271, 0.257192876866299, 0.245637021527745, 0.300134214031211, 0.336273641325311, 
0.433194506846041, 0.478506792198348, 0.354440329676042, 0.259559427268688, 0.245534464876085, 0.299684731833089, 0.336014885260753, 
0.432680183485284, 0.478514357469924, 0.355415561283012, 0.261761090341485, 0.245560233749227, 0.299010516015379, 0.335775668508657, 
0.432110558303123, 0.478639046547384, 0.356621713743613, 0.264557755619966, 0.24565704855135, 0.297929806832327, 0.335704974553348, 
0.431288065023594, 0.47891177927325, 0.357927104778972, 0.267084652657871, 0.245809688854419, 0.296145009290323, 0.335732868175684, 
0.430248764257393, 0.479410926278118, 0.359730928039235, 0.270210250171279, 0.246039877495063, 0.293614650710374, 0.336030706984685, 
0.428974307584553, 0.480190301417672, 0.361730258946959, 0.273391743997106, 0.246377740787962, 0.290334301868903, 0.336556839747982, 
0.427092336726048, 0.48123680017445, 0.364255394106522, 0.277130321494334, 0.246771584532363, 0.28602543978251, 0.337395996939034, 
0.424286417018594, 0.482540929108892, 0.366943867374749, 0.281505870635915, 0.247150671849347, 0.280552337166291, 0.33842348353156, 
0.420155335295268, 0.48412497337231, 0.370106012375477, 0.286065397481093, 0.245992816557824, 0.274035407192216, 0.339709431497879, 
0.414065759056887, 0.485909931602462, 0.373646908967754, 0.290762720275874, 0.242388732893726, 0.26658302936398, 0.341196199868536, 
0.405831901042947, 0.487696048018106, 0.377405321832764, 0.295944112673818, 0.236211838013566, 0.25838900276974, 0.342849038651437, 
0.395481412454524, 0.487905294444686, 0.381260815655575, 0.300866915612364, 0.227393459207931, 0.249827082365176, 0.34471906348718, 
0.383531660437566, 0.485830925378053, 0.385614321705939, 0.306859292467376, 0.216305874628565, 0.241195196591521, 0.346694115499162, 
0.370409967061883, 0.481306449259163, 0.389896908870136, 0.312202152320928, 0.203770500214309, 0.232602951657752, 0.348871242639718, 
0.356683341752097, 0.474637007083127, 0.39450113995817, 0.318070891209583, 0.19034364518086, 0.224765982211561, 0.351131721091831, 
0.342722862260007, 0.466598976140981, 0.399562354754313, 0.324069430821701, 0.176129654323707, 0.218194846414869, 0.353559542332726, 
0.329913322807889, 0.457677468419372, 0.404811026303293, 0.330339984742779, 0.161011047550331, 0.213564440431652, 0.356120215521933, 
0.319394495868113, 0.448553611863083, 0.410327832541674, 0.336477518811425, 0.145827412965773, 0.211399195923112, 0.358805596969497, 
0.312478427837792, 0.439105888922326, 0.415936443984606, 0.34303996476517, 0.132306066273073, 0.210372578458353, 0.361588298754683, 
0.30906849067995, 0.42983068314751, 0.421478720079859, 0.348942326325016, 0.121879914356531, 0.210133802049769, 0.364254916293672, 
0.307505305254479, 0.421576905276696, 0.427131573711719, 0.355588238936161, 0.114445683563181, 0.210308440204244, 0.366920350853146, 
0.307366861568853, 0.41464956497487, 0.432423235826433, 0.361449927208284, 0.110292698202094, 0.210878061700801, 0.369545331888251, 
0.307638632077585, 0.408830233035476, 0.438091353222784, 0.36778050739782, 0.108246218216517, 0.211787849624422, 0.372151252627552, 
0.308347140942257, 0.404202529563243, 0.443328200901889, 0.373734077426342, 0.107336633842413, 0.212740542206414, 0.374655874906955, 
0.309650963950907, 0.401128454578926, 0.448925772406231, 0.379228943910922, 0.106912909306354, 0.213733895340254, 0.377160176647295, 
0.310908108885756, 0.399109342936077, 0.454506037091583, 0.383051256152017, 0.106864848855762, 0.214956406332549, 0.379519727116717, 
0.312352465252626, 0.397524447468841, 0.459868188402918, 0.386076595402066, 0.106830260182493, 0.216090864390332, 0.381802284345447, 
0.313858670661362, 0.396014478466129, 0.464325678220765, 0.388448822255899, 0.106856216172181, 0.217353831688949, 0.383801979944056, 
0.315260393152856, 0.394483252393233, 0.468370113655578, 0.390598408703482, 0.106953108826634, 0.21868033434218, 0.385672918514936, 
0.3170711912745, 0.39308642569221, 0.471964648720086, 0.392454978370378, 0.107106468430434, 0.220117835755911, 0.387324242810062, 
0.318685630247197, 0.391738005599566, 0.475463262329065, 0.394215312110065, 0.107584187599177, 0.221730159652577, 0.388856555685056, 
0.32051753733548, 0.390208038974986, 0.478627051266697, 0.395639007266277, 0.108297401245676, 0.223619522227168, 0.39006568205181, 
0.322530200915546, 0.388289220810215, 0.481759330200553, 0.397001172499085, 0.1093283394674, 0.225705970814536, 0.391115684699215, 
0.324960803535093, 0.385804300005196, 0.484510927052326, 0.397916412011025, 0.110975234863776, 0.228303732212689, 0.391723596666456, 
0.327799127424789, 0.382801698387936, 0.487200184139866, 0.398670141561566, 0.113241893367363, 0.231257802684086, 0.391784803419277, 
0.331294433809547, 0.379386372616374, 0.48956441019628, 0.399154106954286, 0.1168456213949, 0.234738829154108, 0.390953861292851, 
0.335111666749988, 0.375882761273483, 0.491987001651022, 0.399402348211605, 0.121256473064192, 0.238650161954662, 0.389307091769541, 
0.339436649692471, 0.372582391447736, 0.494137102352325, 0.399492310998467, 0.126363596387064, 0.243109222456443, 0.387125806594023, 
0.344005726407334, 0.369818294838603, 0.496402162477004, 0.399616624475159, 0.131868152175562, 0.248092038082446, 0.384027587756951, 
0.348910100625464, 0.367733085465792, 0.49851172727307, 0.399689329925312, 0.137749076718757, 0.25362994180081, 0.380193106010134, 
0.354018895242837, 0.366335909009825, 0.500827273927358, 0.399931782135874, 0.144112957824719, 0.259619688172873, 0.376099240749157, 
0.359435675483619, 0.365458664132935, 0.503013375554188, 0.400224078682033, 0.15074721588314, 0.265844216150087, 0.372165554859985, 
0.365311422324627, 0.364813958821437, 0.50542584978259, 0.400697953342303, 0.157597958134765, 0.272208627640031, 0.366773074442379, 
0.371667408592736, 0.364494881391933, 0.506182441896624, 0.400039865006858, 0.164795784565145, 0.278515344114247, 0.360605521468137, 
0.378630379239073, 0.364206023272279, 0.501292533514996, 0.395390636423455, 0.172437436032318, 0.284780267713967, 0.354330354205029, 
0.385899587828594, 0.363960575045814, 0.493734304491176, 0.388973882577194, 0.18023538695118, 0.290695633484776, 0.348735820358752, 
0.39362486319409, 0.363847720120802, 0.485012512367213, 0.381891493698715, 0.188760751686529, 0.29646285590619, 0.344237982639181, 
0.401329013157147, 0.363687441671627, 0.476087513140745, 0.374495488659912, 0.197717519535071, 0.301779580744903, 0.340666283470038, 
0.409035502699981, 0.363632840995739, 0.467652837310163, 0.367402213564214, 0.207070475458412, 0.304104325850341, 0.337955605741188, 
0.41647032231688, 0.36357238086609, 0.460081262486107, 0.360848885717757, 0.216307476320026, 0.304308623727764, 0.336070795119529, 
0.42363862860607, 0.363373039962864, 0.453212766135089, 0.354842351185188, 0.225302285776555, 0.303799612731683, 0.334746499378667, 
0.429660538368177, 0.363241483642334, 0.446692236471767, 0.349522387854568, 0.233742885746241, 0.303548057896862, 0.333395815835094, 
0.430661507655399, 0.363425582702121, 0.441021878564905, 0.344739010393652, 0.24192146068689, 0.303523341273608, 0.331544342918021, 
0.428579725863273, 0.363943233561013, 0.437317958228944, 0.340569332603006, 0.247780823230281, 0.303914400132518, 0.32896259211189, 
0.424055037470078, 0.365090404921114, 0.435438225436616, 0.336439306752143, 0.251069000706877, 0.304730302401028, 0.325150946931969, 
0.417337570881462, 0.366999822501607, 0.434815241180493, 0.331867438314407, 0.253454226402981, 0.306072478261797, 0.319408681056556, 
0.407552223225577, 0.369940587898975, 0.435550483549569, 0.326445512476306, 0.256296807306823, 0.308295661863967, 0.308610258950126, 
0.396424422901276, 0.374187528318852, 0.437539339606893, 0.320789393226988, 0.25988883805559, 0.311631291796735, 0.293606208985103, 
0.384679192066901, 0.379029626251971, 0.440190554297566, 0.315005985345472, 0.263960776463813, 0.315381504915079, 0.274869828060772, 
